#    L    TT             EE             BB             TE          
   345    0.25852E+04    0.17921E+02    0.29435E-01    0.93408E+02
   346    0.25587E+04    0.18080E+02    0.29527E-01    0.92022E+02
   347    0.25327E+04    0.18235E+02    0.29618E-01    0.90599E+02
   348    0.25070E+04    0.18387E+02    0.29709E-01    0.89147E+02
   349    0.24816E+04    0.18538E+02    0.29800E-01    0.87666E+02
   350    0.24567E+04    0.18685E+02    0.29890E-01    0.86164E+02
   351    0.24323E+04    0.18831E+02    0.29980E-01    0.84633E+02
   352    0.24080E+04    0.18974E+02    0.30070E-01    0.83073E+02
   353    0.23843E+04    0.19114E+02    0.30160E-01    0.81499E+02
   354    0.23608E+04    0.19251E+02    0.30250E-01    0.79889E+02
   355    0.23379E+04    0.19386E+02    0.30339E-01    0.78258E+02
   356    0.23153E+04    0.19518E+02    0.30429E-01    0.76612E+02
   357    0.22931E+04    0.19647E+02    0.30518E-01    0.74939E+02
   358    0.22714E+04    0.19772E+02    0.30607E-01    0.73251E+02
   359    0.22501E+04    0.19895E+02    0.30696E-01    0.71536E+02
   360    0.22292E+04    0.20015E+02    0.30785E-01    0.69803E+02
   361    0.22086E+04    0.20132E+02    0.30874E-01    0.68048E+02
   362    0.21886E+04    0.20246E+02    0.30963E-01    0.66274E+02
   363    0.21689E+04    0.20357E+02    0.31052E-01    0.64484E+02
   364    0.21497E+04    0.20463E+02    0.31141E-01    0.62674E+02
   365    0.21309E+04    0.20568E+02    0.31230E-01    0.60850E+02
   366    0.21126E+04    0.20668E+02    0.31319E-01    0.59010E+02
   367    0.20947E+04    0.20765E+02    0.31408E-01    0.57154E+02
   368    0.20772E+04    0.20858E+02    0.31497E-01    0.55285E+02
   369    0.20603E+04    0.20949E+02    0.31586E-01    0.53401E+02
   370    0.20437E+04    0.21036E+02    0.31676E-01    0.51506E+02
   371    0.20275E+04    0.21118E+02    0.31765E-01    0.49598E+02
   372    0.20119E+04    0.21198E+02    0.31855E-01    0.47681E+02
   373    0.19966E+04    0.21273E+02    0.31945E-01    0.45751E+02
   374    0.19818E+04    0.21346E+02    0.32035E-01    0.43813E+02
   375    0.19675E+04    0.21414E+02    0.32126E-01    0.41867E+02
   376    0.19536E+04    0.21480E+02    0.32216E-01    0.39912E+02
   377    0.19402E+04    0.21541E+02    0.32307E-01    0.37952E+02
   378    0.19272E+04    0.21597E+02    0.32399E-01    0.35984E+02
   379    0.19146E+04    0.21651E+02    0.32490E-01    0.34012E+02
   380    0.19026E+04    0.21702E+02    0.32582E-01    0.32034E+02
   381    0.18910E+04    0.21745E+02    0.32674E-01    0.30053E+02
   382    0.18797E+04    0.21787E+02    0.32766E-01    0.28069E+02
   383    0.18690E+04    0.21825E+02    0.32859E-01    0.26083E+02
   384    0.18588E+04    0.21858E+02    0.32952E-01    0.24096E+02
   385    0.18490E+04    0.21888E+02    0.33046E-01    0.22108E+02
   386    0.18396E+04    0.21914E+02    0.33140E-01    0.20122E+02
   387    0.18306E+04    0.21935E+02    0.33234E-01    0.18136E+02
   388    0.18221E+04    0.21953E+02    0.33329E-01    0.16153E+02
   389    0.18140E+04    0.21964E+02    0.33424E-01    0.14172E+02
   390    0.18064E+04    0.21975E+02    0.33520E-01    0.12196E+02
   391    0.17993E+04    0.21980E+02    0.33616E-01    0.10224E+02
   392    0.17925E+04    0.21983E+02    0.33713E-01    0.82584E+01
   393    0.17863E+04    0.21980E+02    0.33810E-01    0.62983E+01
