#    L    TT             EE             TE             PP             TP          
   281    0.46573E+04    0.64085E+01    0.10948E+03    0.15188E+07    0.13788E+04
   282    0.46258E+04    0.65657E+01    0.11040E+03    0.15120E+07    0.13678E+04
   283    0.45941E+04    0.67248E+01    0.11129E+03    0.15053E+07    0.13570E+04
   284    0.45622E+04    0.68858E+01    0.11214E+03    0.14987E+07    0.13462E+04
   285    0.45300E+04    0.70486E+01    0.11297E+03    0.14920E+07    0.13355E+04
   286    0.44976E+04    0.72131E+01    0.11375E+03    0.14855E+07    0.13249E+04
   287    0.44650E+04    0.73793E+01    0.11451E+03    0.14789E+07    0.13143E+04
   288    0.44322E+04    0.75471E+01    0.11524E+03    0.14725E+07    0.13038E+04
   289    0.43993E+04    0.77166E+01    0.11593E+03    0.14660E+07    0.12934E+04
   290    0.43662E+04    0.78875E+01    0.11659E+03    0.14596E+07    0.12830E+04
   291    0.43329E+04    0.80606E+01    0.11720E+03    0.14532E+07    0.12727E+04
   292    0.42992E+04    0.82348E+01    0.11778E+03    0.14469E+07    0.12625E+04
   293    0.42657E+04    0.84097E+01    0.11833E+03    0.14407E+07    0.12523E+04
   294    0.42319E+04    0.85867E+01    0.11884E+03    0.14344E+07    0.12422E+04
   295    0.41982E+04    0.87644E+01    0.11931E+03    0.14282E+07    0.12322E+04
   296    0.41642E+04    0.89443E+01    0.11975E+03    0.14221E+07    0.12222E+04
   297    0.41302E+04    0.91242E+01    0.12016E+03    0.14160E+07    0.12123E+04
   298    0.40960E+04    0.93061E+01    0.12051E+03    0.14099E+07    0.12024E+04
   299    0.40617E+04    0.94895E+01    0.12083E+03    0.14039E+07    0.11927E+04
   300    0.40274E+04    0.96729E+01    0.12112E+03    0.13979E+07    0.11829E+04
   301    0.39930E+04    0.98576E+01    0.12136E+03    0.13919E+07    0.11733E+04
   302    0.39586E+04    0.10043E+02    0.12158E+03    0.13860E+07    0.11637E+04
   303    0.39242E+04    0.10230E+02    0.12175E+03    0.13801E+07    0.11541E+04
   304    0.38897E+04    0.10418E+02    0.12188E+03    0.13742E+07    0.11447E+04
   305    0.38552E+04    0.10606E+02    0.12197E+03    0.13684E+07    0.11352E+04
   306    0.38207E+04    0.10795E+02    0.12202E+03    0.13626E+07    0.11259E+04
   307    0.37862E+04    0.10984E+02    0.12203E+03    0.13569E+07    0.11166E+04
   308    0.37517E+04    0.11176E+02    0.12201E+03    0.13512E+07    0.11073E+04
   309    0.37173E+04    0.11366E+02    0.12194E+03    0.13455E+07    0.10982E+04
   310    0.36829E+04    0.11557E+02    0.12184E+03    0.13399E+07    0.10891E+04
   311    0.36485E+04    0.11749E+02    0.12169E+03    0.13343E+07    0.10800E+04
   312    0.36143E+04    0.11941E+02    0.12151E+03    0.13287E+07    0.10710E+04
   313    0.35801E+04    0.12134E+02    0.12128E+03    0.13232E+07    0.10621E+04
   314    0.35460E+04    0.12326E+02    0.12103E+03    0.13177E+07    0.10532E+04
   315    0.35119E+04    0.12519E+02    0.12072E+03    0.13122E+07    0.10444E+04
   316    0.34780E+04    0.12711E+02    0.12038E+03    0.13068E+07    0.10357E+04
   317    0.34442E+04    0.12903E+02    0.12000E+03    0.13014E+07    0.10270E+04
   318    0.34105E+04    0.13096E+02    0.11958E+03    0.12960E+07    0.10184E+04
   319    0.33769E+04    0.13288E+02    0.11912E+03    0.12907E+07    0.10099E+04
   320    0.33435E+04    0.13480E+02    0.11864E+03    0.12854E+07    0.10014E+04
